dname,code,longitude,latitude
Balaka,36,35.05315978998695,-15.04847375
Blantyre,29,35.0035694,-15.7862543
Chikwawa,33,34.72283932431507,-16.21538195
Chiladzulu,28,35.20553617052023,-15.754719999999999
Chitipa,01,33.41202427956999,-9.9728541
Dedza,17,34.31965143966403,-14.2374479
Dowa,13,33.7781079828639,-13.53875785
Karonga,02,33.86619181196623,-10.08474695
Kasungu,10,33.472356695915096,-12.992487650000001
Likoma,06,34.734435755418986,-12.066386300000001
Lilongwe,15,33.768144,-13.9875107
Machinga,26,35.60258156267952,-14.902749700000001
Mangochi,25,35.32636243192955,-14.1406247
Mchinji,16,33.020473863724945,-13.782889749999999
Mulanje,32,35.54125499990176,-15.91088
Mwanza,30,34.51465953401936,-15.61360315
Mzimba North,07,33.5843626,-11.8989048
Mzimba South,05,33.5843626,-11.8989048
Neno,37,34.68322049013118,-15.51371825
Nkhatabay,03,34.68322049013118,-15.51371825
Nkhotakota,11,34.032917703204646,-12.8321965
Nsanje,34,35.101108793623865,-16.7199917
Ntcheu,18,34.765831629561944,-14.83041285
Ntchisi,12,33.854627197691315,-13.27698805
Phalombe,35,35.66505231082681,-15.69220705
Rumphi,04,33.85071177603609,-10.790932649999998
Salima,14,34.452369976445496,-13.762898400000001
Thyolo,31,35.14491322382413,-16.128774749999998
Zomba,27,35.3268273,-15.3863208