facility_id,latitude,longitude
2439,-14.98498,34.94959
2440,-14.990816,34.960833
2441,-14.84268,35.17081
2442,-15.05425,34.92264
2443,-14.91088,35.05326
7617,-15.77128,34.98156
7618,-15.77733,34.88548
7621,-15.52963,35.02973
10253,-15.7781,35.03946
10255,-15.80214,35.021
7629,-15.80918,35.01977
10259,-15.817047,35.014587
1910,-13.94454,33.77083
1912,-13.99164, 33.77561
1954,-13.98131,33.82105
1930,-13.77074,33.80477
1947,-14.04389,34.1036
7350,-14.6996,34.9732
7352,-14.36298,35.44253
7365,-14.48191,35.26527
7368,-16.033665667119127,34.98522945745857
7371,-14.3637,35.50221
6519,-13.88028,34.36721
6501,-13.66454,34.38503
6502,-13.98973,34.51545
6512,-13.76214,34.42199