Zone Code,Zone Name,District Code,District Name,Facility Code,Facility Name
se,South Eastern,26,Machinga,2616,Ntaja
se,South Eastern,26,Machinga,2601,Chamba
se,South Eastern,26,Machinga,2614,Ngokwe
se,South Eastern,26,Machinga,2650,Mangamba
se,South Eastern,26,Machinga,2605,DHO
se,South Eastern,26,Machinga,2651,Mlomba
se,South Eastern,26,Machinga,2606,Machinga HC
se,South Eastern,26,Machinga,2612,Nainunje
se,South Eastern,26,Machinga,2604,Kawinga
se,South Eastern,26,Machinga,2613,Nayuchi
se,South Eastern,26,Machinga,2610,Namandanje
se,South Eastern,26,Machinga,2603,Gawanani
se,South Eastern,26,Machinga,2609,Mposa
se,South Eastern,26,Machinga,2608,Mpiri
se,South Eastern,26,Machinga,2652,Ntholowa
se,South Eastern,26,Machinga,2617,Nyambi
se,South Eastern,26,Machinga,2615,Nsanama
se,South Eastern,26,Machinga,2611,Namanja
se,South Eastern,26,Machinga,2607,Mbonechera
se,South Eastern,26,Machinga,2602,Chikweyo
se,South Eastern,26,Machinga,2653,Mkwepere
no,Northern,3,Nkhatabay,311,Liuzi
no,Northern,3,Nkhatabay,308,Kachere
no,Northern,3,Nkhatabay,309,Kande
no,Northern,3,Nkhatabay,305,Chintheche
no,Northern,3,Nkhatabay,302,Chesamu
no,Northern,3,Nkhatabay,316,Maula
no,Northern,3,Nkhatabay,315,Nkhatabay DHO
no,Northern,3,Nkhatabay,313,Mpamba
no,Northern,3,Nkhatabay,303,Chikwina
no,Northern,3,Nkhatabay,301,Bula
no,Northern,3,Nkhatabay,319,Usisya
no,Northern,3,Nkhatabay,310,Khondowe
no,Northern,3,Nkhatabay,317,Ruarwe
no,Northern,3,Nkhatabay,306,Chitheka
no,Northern,3,Nkhatabay,314,Mzenga
no,Northern,3,Nkhatabay,350,Nthungwa
no,Northern,3,Nkhatabay,304,Chilambwe
no,Northern,3,Nkhatabay,312,Lwazi
no,Northern,3,Nkhatabay,307,Chizumulo
no,Northern,3,Nkhatabay,318,Likoma
se,South Eastern,32,Mulanje,3213,Mulomba
se,South Eastern,32,Mulanje,3219,Thuchira
se,South Eastern,32,Mulanje,3201,Bondo
se,South Eastern,32,Mulanje,3250,Lujeri Estate
se,South Eastern,32,Mulanje,3209,Mimosa
se,South Eastern,32,Mulanje,3210,Mpala
se,South Eastern,32,Mulanje,3202,Chambe
se,South Eastern,32,Mulanje,3206,Kambenje
se,South Eastern,32,Mulanje,3205,Dzenje
se,South Eastern,32,Mulanje,3208,Milonde
se,South Eastern,32,Mulanje,3211,Mulanje DHO
se,South Eastern,32,Mulanje,3203,Chinyama
se,South Eastern,32,Mulanje,3218,Thembe
se,South Eastern,32,Mulanje,3204,Chonde
se,South Eastern,32,Mulanje,3207,Mbiza
se,South Eastern,32,Mulanje,3212,Mulanje Mission
se,South Eastern,32,Mulanje,3214,Muloza
se,South Eastern,32,Mulanje,3215,Namasalima
se,South Eastern,32,Mulanje,3216,Namphungo
se,South Eastern,32,Mulanje,3217,Namulenga
ce,Central Eastern,11,Nkhotakota,1104,Dwambazi
ce,Central Eastern,11,Nkhotakota,1150,Lupachi
ce,Central Eastern,11,Nkhotakota,1151,Kasitu
ce,Central Eastern,11,Nkhotakota,1110,Ngala
ce,Central Eastern,11,Nkhotakota,1112,Nkhunga
ce,Central Eastern,11,Nkhotakota,1152,Dwangwa Cane Growers
ce,Central Eastern,11,Nkhotakota,1106,Liwaladzi
ce,Central Eastern,11,Nkhotakota,1153,Msenjere
ce,Central Eastern,11,Nkhotakota,1114,Katimbira
ce,Central Eastern,11,Nkhotakota,1102,Bua
ce,Central Eastern,11,Nkhotakota,1111,DHO/ST
ce,Central Eastern,11,Nkhotakota,1107,Mpamantha
ce,Central Eastern,11,Nkhotakota,1103,Chididi
ce,Central Eastern,11,Nkhotakota,1105,Kapiri
ce,Central Eastern,11,Nkhotakota,1116,Malowa
ce,Central Eastern,11,Nkhotakota,1109,Mwansambo
ce,Central Eastern,11,Nkhotakota,1101,Benga
ce,Central Eastern,11,Nkhotakota,1108,Ntosa
ce,Central Eastern,11,Nkhotakota,1113,Alinafe
se,South Western,34,Nsanje,3403,Lurwe
se,South Western,34,Nsanje,3408,Ndamera
se,South Western,34,Nsanje,3406,Mbenje
se,South Western,34,Nsanje,3409,Nsanje DH
se,South Western,34,Nsanje,3401,Chididi
se,South Western,34,Nsanje,3413,Tengani
se,South Western,34,Nsanje,3410,Nyamithuthu
se,South Western,34,Nsanje,3417,Phokera
se,South Western,34,Nsanje,3402,Kalemba
se,South Western,34,Nsanje,3412,Sorgin
se,South Western,34,Nsanje,3414,Trinity
se,South Western,34,Nsanje,3405,Masenjere
se,South Western,34,Nsanje,3411,Sankhulani
se,South Western,34,Nsanje,3404,Makhanga
ce,Central Eastern,10,Kasungu,1005,Kaluluma
ce,Central Eastern,10,Kasungu,1017,Mpepa/Chisinga
ce,Central Eastern,10,Kasungu,1016,Wimbe
ce,Central Eastern,10,Kasungu,1011,Mtunthama
ce,Central Eastern,10,Kasungu,1050,Mziza
ce,Central Eastern,10,Kasungu,1001,Bua
ce,Central Eastern,10,Kasungu,1012,Newa
ce,Central Eastern,10,Kasungu,1004,Dwangwa
ce,Central Eastern,10,Kasungu,1002,Chamwavi
ce,Central Eastern,10,Kasungu,1051,Lodjwa
ce,Central Eastern,10,Kasungu,1009,Kawamba
ce,Central Eastern,10,Kasungu,1052,Khola
ce,Central Eastern,10,Kasungu,1010,Mkhota
ce,Central Eastern,10,Kasungu,1008,Kasungu D.Hospital
ce,Central Eastern,10,Kasungu,1006,Kamboni
ce,Central Eastern,10,Kasungu,1007,Kapelula
ce,Central Eastern,10,Kasungu,1014,Santhe
ce,Central Eastern,10,Kasungu,1053,Gogode
ce,Central Eastern,10,Kasungu,1054,Ofesi
ce,Central Eastern,10,Kasungu,1055,Linyangwa
ce,Central Eastern,10,Kasungu,1003,Chulu
ce,Central Eastern,10,Kasungu,1015,Simlemba
ce,Central Eastern,10,Kasungu,1013,Nkhamenya
ce,Central Eastern,10,Kasungu,1018,Kasalika
cw,Central Western,17,Dedza,1701,Bembeke
cw,Central Western,17,Dedza,1702,Chikuse
cw,Central Western,17,Dedza,1703,Chimoto
cw,Central Western,17,Dedza,1704,Chiphwanta 
cw,Central Western,17,Dedza,1705,Chitowo
cw,Central Western,17,Dedza,1706,Chongoni 
cw,Central Western,17,Dedza,1707,Dedza DHO
cw,Central Western,17,Dedza,1708,Dzindevu
cw,Central Western,17,Dedza,1709,Kafele
cw,Central Western,17,Dedza,1710,Kalulu
cw,Central Western,17,Dedza,1711,Kanyama 
cw,Central Western,17,Dedza,1712,Kanyezi
cw,Central Western,17,Dedza,1713,Kaphuka
cw,Central Western,17,Dedza,1714,Kasina
cw,Central Western,17,Dedza,1715,Lobi
cw,Central Western,17,Dedza,1716,Maonde
cw,Central Western,17,Dedza,1717,Matumba
cw,Central Western,17,Dedza,1718,Mayani
cw,Central Western,17,Dedza,1719,Mikondo 
cw,Central Western,17,Dedza,1720,Mlangali
cw,Central Western,17,Dedza,1721,Mphathi
cw,Central Western,17,Dedza,1722,Mphunzi
cw,Central Western,17,Dedza,1723,Mtendere 
cw,Central Western,17,Dedza,1724,Tsoyo
cw,Central Western,17,Dedza,1750,Nakalazi
cw,Central Western,17,Dedza,1751,Kaundu
cw,Central Western,17,Dedza,1752,Kachindamoto
cw,Central Western,17,Dedza,1753,Mtakataka
cw,Central Western,17,Dedza,1754,Golomoti
cw,Central Western,17,Dedza,1755,Mua
cw,Central Western,17,Dedza,1756,Mganja
cw,Central Western,17,Dedza,1757,Mjini
cw,Central Western,17,Dedza,1758,Mdeza
cw,Central Western,15,Lilongwe,1501,Area 18
cw,Central Western,15,Lilongwe,1502,Area 25
cw,Central Western,15,Lilongwe,1503,Bwaila
cw,Central Western,15,Lilongwe,1504,Chokowa
cw,Central Western,15,Lilongwe,1505,Chileka
cw,Central Western,15,Lilongwe,1506,Chimbalanga
cw,Central Western,15,Lilongwe,1507,Chitedze
cw,Central Western,15,Lilongwe,1508,Chiunjidza
cw,Central Western,15,Lilongwe,1509,Chiwamba
cw,Central Western,15,Lilongwe,1510,Chiwe
cw,Central Western,15,Lilongwe,1511,Diamphwe
cw,Central Western,15,Lilongwe,1512,Dickson
cw,Central Western,15,Lilongwe,1513,Dzenza
cw,Central Western,15,Lilongwe,1514,Kabudul
cw,Central Western,15,Lilongwe,1515,Kang'oma
cw,Central Western,15,Lilongwe,1516,Kachale 
cw,Central Western,15,Lilongwe,1517,Kawale
cw,Central Western,15,Lilongwe,1518,Khongoni
cw,Central Western,15,Lilongwe,1519,Likuni
cw,Central Western,15,Lilongwe,1520,Lemwe
cw,Central Western,15,Lilongwe,1521,Lumbadzi
cw,Central Western,15,Lilongwe,1522,Malingunde
cw,Central Western,15,Lilongwe,1523,Maluwa
cw,Central Western,15,Lilongwe,1524,Matapira
cw,Central Western,15,Lilongwe,1525,Mbabvi
cw,Central Western,15,Lilongwe,1526,Mbang'ombe I
cw,Central Western,15,Lilongwe,1527,Mbang'ombe II
cw,Central Western,15,Lilongwe,1528,Mbwatakali
cw,Central Western,15,Lilongwe,1529,Ming'ongo
cw,Central Western,15,Lilongwe,1530,Mitundu
cw,Central Western,15,Lilongwe,1531,Milale
cw,Central Western,15,Lilongwe,1532,Mtenthera
cw,Central Western,15,Lilongwe,1533,Nambuma
cw,Central Western,15,Lilongwe,1534,Nathenje
cw,Central Western,15,Lilongwe,1535,Ndaula
cw,Central Western,15,Lilongwe,1536,New state house
cw,Central Western,15,Lilongwe,1537,Ngoni
cw,Central Western,15,Lilongwe,1538,Nkhoma
cw,Central Western,15,Lilongwe,1539,Nsaru
cw,Central Western,15,Lilongwe,1540,Nthondo
cw,Central Western,15,Lilongwe,1541,St Gabriel
cw,Central Western,15,Lilongwe,1542,Ukwe
cw,Central Western,15,Lilongwe,1543,Dzalanyama
cw,Central Western,15,Lilongwe,1544,Police Area 30
cw,Central Western,15,Lilongwe,1545,Kamuzu Barracks
cw,Central Western,15,Lilongwe,1546,Khasu
sw,South Western,99,Test,9901,Test Facility 1
sw,South Western,99,Test,9902,Test Facility 2
sw,South Western,99,Test,9903,Test Facility 3
